,Job Title,Job ID,Job Tags,Company Name,Job Loc,List of infos from company,Recommandation de l'entreprise,CEO Approval,CEO,Note globale,lightbulb,verified,company,checklist,job,,Diversité et inclusion,Équilibre travail/vie privée,Équipe dirigeante,Culture et valeurs,Globale,Opportunités de carrière,Rémunération et avantages,,5 Stars,1 Star,2 Stars,4 Stars,EcoCompany name,Ecoscore
0,Data Analyst senior (H/F),3785359296,"[('job', 'Hybride Temps plein Manager'), ('company', '51-200 employés · Services et conseil en informatique'), ('checklist', 'Compétences : Compétences analytiques, Autonomie et 8 en plus'), ('lightbulb', 'Découvrez comment vous vous positionnez par rapport à plus de 100 autres candidats. Essai Premium pour 0 EUR')]",LittleBigCode,"{'Ville': 'Ville de Paris', 'Région': 'Île-de-France', 'Pays': 'France'}","('littlebigcode.fr/', 'Neuilly, France', 'De 1 à 50 employés', '2 lieux', 'Type : Cabinet / Société du secteur privé', 'Fondée en 2018', 'Revenu : Entre 5 et 25 millions de dollars US', 'Conseil aux entreprises')",87%,93%,Charles Armataffet,,Découvrez comment vous vous positionnez par rapport à plus de 100 autres candidats. Essai Premium pour 0 EUR,,51-200 employés · Services et conseil en informatique,"Compétences : Compétences analytiques, Autonomie et 8 en plus",Hybride Temps plein Manager,,"4,5","4,5","4,2","4,3","4,3","4,3","3,7",,100%;,16.6667%;,8.33333%;,8.33333%;,LittleBigCode,0
1,Senior Biostatistician,3784436449,"[('job', 'Hybride Temps plein Manager'), ('company', '501-1 000 employés · Services de recherche'), ('checklist', 'Compétences : Normes CDISC, Modèle SDTM et 8 en plus'), ('verified', 'Consultez les vérifications liées à cette offre d’emploi.\nConsultez les vérifications liées à cette offre d’emploi.\nTout afficher'), ('lightbulb', 'Découvrez comment vous vous positionnez par rapport à 40 candidats. Essai Premium pour 0 EUR')]",Cerner Enviza,"{'Ville': 'Ville de Paris', 'Région': 'Île-de-France', 'Pays': 'France'}",(),None,None,none,None,Découvrez comment vous vous positionnez par rapport à 40 candidats. Essai Premium pour 0 EUR,"Consultez les vérifications liées à cette offre d’emploi.
Consultez les vérifications liées à cette offre d’emploi.
Tout afficher",501-1 000 employés · Services de recherche,"Compétences : Normes CDISC, Modèle SDTM et 8 en plus",Hybride Temps plein Manager,,,,,,,,,,,,,,Cerner Enviza,0
